id,Pos,GS,FGptg,X3Pptg,PF,PTS,AST,Salary
351,SG,50.57142857,0.436285714,0.362428571,2.128571429,18.38571429,3.614285714,7877496.571
352,C,38.25,0.5395,0.28125,3.3375,13.7875,1.2375,5690832.75
353,SG,0,0.391,0.373,2.7,15,1.7,473604
354,SF,14,0.477666667,0.322,4.766666667,13.28333333,1.233333333,1467364.167
355,SG,7.166666667,0.4525,0.305666667,4.716666667,13.61666667,1.533333333,630379
356,SF,43.1,0.4148,0.3534,3.18,17.56,1.95,6866032.5
357,C,2,0.415,0,6.5,8.9,1,16006220
358,SF,11,0.352,0.314,3.8,10.7,2.1,884879
359,C,12.42857143,0.508571429,0,6.371428571,9.928571429,2,1561984.571
360,SG,42.83333333,0.438166667,0.389833333,2.466666667,14.11666667,1.916666667,2115605.167
361,SG,0,0.214,0,3.5,6.7,1.9,398762
362,PF,20.5,0.39425,0.29175,3.15,12.675,1.55,1286974
363,PF,30.66666667,0.392333333,0.293,4.566666667,10.4,3,880247.6667
364,PG,1,0.377,0.298,2.3,12.8,3.4,507336
365,SG,12.75,0.4235,0.352,3.7625,17.725,1.9,1989119.5
366,PF,1,0.574,0,5.5,13.6,0.9,59686
367,SF,63.5,0.439166667,0.342666667,2.6,15.95,1.866666667,6109633.333
368,SG,1.666666667,0.422,0.135666667,3.566666667,12.63333333,4.7,371679
369,SG,30.44444444,0.430666667,0.353,3.011111111,14.25555556,2.355555556,2498474.333
370,SG,0,0.433,0.346,2.7,13.9,4.4,664209
371,SF,23,0.4765,0,4.05,7.65,3.1,1121859
372,PF,75,0.5246,0.2538,3.14,21.72,4.04,10486272.8
373,PF,13.5,0.305,0.0975,3.2,7.75,1.35,2600000
374,SF,0,0.4,0,4.5,11.3,1.1,457588
375,PG,1,0.537,0,5.1,10.9,4.5,59686
376,C,0,0.4714,0,7,12.28,1.54,1480000
377,SG,0,0.508,0.091,3.85,11.4,2.4,543755.5
378,SG,2,0.323,0.301,3.2,13.3,1.1,1149720
379,SF,0,0.476,0.6,4.1,20.5,0,825497
380,SF,0,0.25,0,2.8,5.5,2.8,135895
381,SF,4.25,0.41025,0.3905,2.7,15.1,2.2,886889.25
382,C,14,0.478,0.323,3.5,11.1,1.8,816482
383,SG,54.5,0.451125,0.3705,2.7375,18.5875,4.1625,10656250
384,C,0,0.5,0,3.7,19.1,0,329138
385,PG,0,0.333,0.261,4.1,10.3,3.8,473604
386,PF,8.333333333,0.442833333,0.023833333,4.4,14.38333333,0.983333333,2593382.333
387,PF,0.5,0.3685,0.24,3.55,10.15,1.3,617899.5
388,SF,4,0.3265,0.2105,3.1,5.8,3.95,8035071
389,SG,15.5,0.4085,0.3525,2.65,16.5,2,1223700
390,SG,39.83333333,0.444,0.3705,2.866666667,21.08333333,4.666666667,7868991.833
391,SF,34.66666667,0.441333333,0.278666667,2.9,10.23333333,1.233333333,1809880
392,PF,0,0.29,0.154,2.1,8.6,0.9,473604
393,SG,9,0.48175,0.223,4.375,15.875,1.8,5880000
394,C,1.333333333,0.443333333,0.308666667,4.266666667,11,0.8,570698
395,PF,32,0.425111111,0.350777778,4.144444444,18.05555556,2.177777778,7323739.667
396,C,6.333333333,0.516333333,0,8,12.86666667,0.766666667,1197785.333
397,PG,42.6,0.4366,0.3103,3.06,15.99,6.29,5824584.2
398,SG,6,0.304,0.204,3.6,9.4,1.5,1519200
399,SG,1,0.4,0.369,4.5,9.9,1.9,884879
400,PG,8,0.416,0.269,5.2,10.1,5.9,390556
401,SG,10,0.387,0.3515,2.35,13.05,2.85,298273
402,PF,0,0.367,0,5.2,10.9,1.1,64978
403,C,7.666666667,0.456666667,0,7.033333333,12.06666667,1.2,2692000
404,SG,0.5,0.2485,0.1025,4.15,6.5,2.65,330130
405,SF,36,0.465666667,0.293,2.733333333,16.9,1.733333333,1781531.333
406,PG,4.8,0.3952,0.1772,4.44,8.28,5.48,1753604.8
407,PF,39.4,0.4883,0.02,3.54,10.46,1.13,4866200
408,SF,40.6,0.4474,0.2032,3.08,7.64,2.28,4350000
409,PF,45.125,0.4575,0.301875,4.125,13.575,2.8,4234063
410,C,27.11111111,0.472444444,0,4.566666667,6.788888889,2.411111111,3409328.778
411,SF,10.2,0.4256,0.3638,3.28,13.4,1.58,1949601.4
412,SF,51,0.4468,0.3804,2.18,15.8,3.82,5159436.6
413,SF,0,0.299666667,0.189666667,3.966666667,11.56666667,2.3,1124324.333
414,C,39,0.514666667,0,3.888888889,10.31111111,0.877777778,6431687.556
415,PG,15.6,0.4248,0.3792,2.34,13.56,3.54,1004792.2
416,PF,4,0.579,0,4.6,9.4,0.8,1158424
417,SG,48.66666667,0.431,0.274666667,2.416666667,15.11666667,2.516666667,3568807.833
418,SF,4.5,0.3605,0.2235,3.175,10.55,1.225,1899260
419,C,14.33333333,0.528666667,0,3.9,15.13333333,1.733333333,1905320
420,SF,4,0.437333333,0.372,2.566666667,14.86666667,1.333333333,1914666.667
421,C,70.28571429,0.465285714,0.164285714,4.685714286,15.58571429,2,7169166
422,C,42.57142857,0.505571429,0,3.171428571,14.8,1.285714286,3024841
423,SG,0,0.3205,0.2,4.5,14.3,4.35,259219.5
424,PF,45.3,0.4815,0.08,4.84,14.3,2.26,10343988.9
425,PG,36,0.448285714,0.366142857,2.928571429,14.58571429,4.271428571,4190200
426,SF,53,0.47875,0.3025,2.6625,14.35,2.7625,6400143.75
427,C,18.16666667,0.497666667,0.0455,4.416666667,14.65,1.233333333,4034114.5
428,SF,39,0.4105,0.3155,2.85,9.25,2.35,1274760
429,PF,0,1,0,0,36,0,148238
430,SG,51.55555556,0.409222222,0.371777778,3.322222222,12.1,5.322222222,6142945.333
431,SG,0,0.317,0.217,2.1,13.5,2.1,412718
432,SG,0,0.154,0,0.9,3.7,5.5,245884
433,SG,0.5,0.4425,0,5.45,11.25,6.55,1191780
434,SF,0,1,0,6.5,6.5,0,52033
435,PG,57.83333333,0.440666667,0.3785,2.633333333,14.88333333,6.8,4446078.5
436,SG,4,0.387,0.321,3,13.9,2.6,816482
437,C,7.111111111,0.586333333,0,6.333333333,11.16666667,0.766666667,1405059
438,SF,0,0.303,0.1665,1.75,8.6,2.6,792437.5
439,SG,21,0.414,0.365,4,14.7,2.8,1290360
440,C,61.5,0.541625,0.33375,2.575,15.4125,2.825,8190627.125
441,PF,0,0.25,0,1.6,8.2,0,91642
442,PF,5.333333333,0.354,0.320333333,3.433333333,8.433333333,2.6,3315000
443,SG,0.8,0.4206,0.4088,2.62,16.46,2.88,1547598.2
444,C,72.6,0.5845,0.1453,3.38,18.9,1.59,14054650.3
445,SF,37.25,0.425125,0.31775,3.025,16.775,1.8,4850717.25
446,PF,24.16666667,0.4235,0,4.066666667,9.733333333,1.683333333,4066385.667
447,SG,0,0.358333333,0.36,3.6,12.13333333,5.066666667,213850.6667
448,PG,2,0.35,0.359666667,1.833333333,13.1,4.333333333,6009530
449,PG,28.75,0.34775,0.28825,2.775,11.825,3.475,9444405.75
450,SF,4,0.459,0.314,4.2,9.6,1.3,880000
451,PF,17.8,0.4625,0,3.95,13.56,1.34,5171883.3
452,C,9,0.502,0,6.1,12.4,1.7,632455
453,PG,0.2,0.319,0.2508,3.9,8.94,4.8,1741985.6
454,SF,0,0.4415,0,4.9,10.3,0.2,374839
455,C,19.5,0.52725,0,3.675,11.375,0.275,3192000
456,PF,55.83333333,0.534333333,0.323833333,3.783333333,14.2,0.65,5077610.333
457,SF,67.6,0.4615,0.3361,1.83,13.96,4.84,9656795.5
458,C,58.5,0.481333333,0.143833333,4.516666667,15.43333333,1.433333333,8676620.5
459,C,0,0,0,6,0,0,800000
460,PF,36.71428571,0.442428571,0.367,3.942857143,16.01428571,1.657142857,4475101.286
461,SF,32,0.415,0.356,2.7,8.5,3.9,507336
462,PG,64,0.45475,0.39075,2.35,21.975,5.975,5838082.5
463,SG,77,0.4525,0.334,1.25,25.2,6.2,17732812.5
464,SG,13.625,0.405375,0.3725,4.075,9.4,2.35,967558.5
465,PG,32.88888889,0.446444444,0.342222222,2.377777778,14.05555556,5.711111111,3657402.556
466,PG,9,0.391333333,0.340333333,2.733333333,15.1,3.766666667,5040629.333
467,PG,0,0.3,0.167,3.4,9.7,6.8,53834
468,PF,1.333333333,0.405666667,0.174333333,5.666666667,9.6,0.966666667,680269.6667
469,PG,2,0.423,0.25,3.4,6.2,4.5,1355067
470,SF,1,0.294,0.243,3.6,8.5,2.5,2640000
471,SF,1,0.369333333,0.331333333,3.6,12,3,1455518.667
472,PF,17.5,0.441,0.25,3.75,14.4,1.75,4712500
473,PG,19,0.41325,0.26975,2.525,14.5,5.5,1466032.5
474,SF,50,0.398,0.323666667,2.55,16.23333333,3.716666667,7858250
475,SG,0,0.339,0.222,2.2,7,1.3,826269
476,C,4.333333333,0.479,0,4.933333333,9.066666667,0.7,725906.3333
477,SF,5.333333333,0.272666667,0,2.266666667,5.666666667,0.8,816552.6667
478,C,5,0.564,0,6.5,18.125,0.375,5600000
479,SF,75.1,0.5093,0.3477,1.71,25.94,6.5,14146103.3
480,PG,31.14285714,0.386142857,0.403714286,3.3,14.38571429,5.242857143,4005837.143
481,PF,53.66666667,0.429555556,0.337222222,2.722222222,18.08888889,1.566666667,10895173.67
482,SG,29.5,0.3945,0.358,3.475,9.25,4.475,5787500
483,PG,15,0.396,0.364,2.5,12.6,5.2,4000000
484,C,1,0.3455,0,5.4,7.3,1.05,589267
485,C,63,0.498,0.0968,3.07,19.64,1.79,9777871.2
486,PF,1,0.449,0.133,4.1,12.4,1.1,507336
487,SF,58.7,0.4561,0.3759,2.65,15.13,2.3,10134049
488,PF,26.85714286,0.401,0.153285714,4.414285714,6.828571429,1.914285714,4131226.429
489,PG,28,0.447,0.15,3.4,12,6.9,473604
490,SG,1.666666667,0.440666667,0.336666667,1.933333333,13.46666667,2.1,1258760
491,PG,68.16666667,0.392,0.350166667,2.1,17.78333333,6.633333333,4304726
492,PF,17.6,0.463,0.3442,3.88,13.4,1.54,3691517.6
493,PF,0,0.269,0.067,7.8,11.3,2.1,816481
494,PG,1,0.409,0.2,2.3,10.7,6.8,473604
495,PF,32.6,0.4004,0.3052,3.76,12.96,1.08,2767187.2
496,PF,12.5,0.513,0,5.85,12.05,0.85,550087
497,PF,30.8,0.5855,0.2168,5.48,12.59,1.64,4206297
498,PG,26.8,0.4278,0.3694,2.78,10.64,5.64,2398000
499,PG,0,0.46,0.375,3.3,13.95,4.5,617899.5
500,PG,0,0.314,0.267,3.3,8.2,6.7,168035
501,C,0.333333333,0.519,0,6.166666667,11.56666667,0.733333333,457953.6667
502,SF,1,0.4215,0.314,2.4,10.8,0.85,167930.5
503,SG,0,0,0,0,0,6,192228
504,SF,9.333333333,0.418666667,0.299666667,3.966666667,15.76666667,1.633333333,581025.3333
505,C,0,0.412,0,10.2,6.7,0.9,1138500
506,PF,2.5,0.5165,0.205,4.55,14.7,1.4,717899.5
507,PF,20.8,0.472,0.2378,4.5,12.62,2.78,2090561.2
508,PF,0,0.446,0,3,13.8,0.7,1042320
509,SG,73.9,0.446,0.3667,1.71,18.43,4.34,16620511.3
510,PF,1.75,0.434,0.38175,5.025,9.925,1.375,475007.75
511,SG,0,0.347,0.238,4.7,10.2,1.5,507336
512,SG,0,0.3595,0.287,2.7,10.5,2.25,669436
513,SG,0,0.182,0.1665,7.45,11.65,2.1,138464
514,SG,2,0.419,0.375,2.5,11.3,2.5,507336
515,SF,53.8,0.4082,0.3426,2.72,12.12,1.86,2783084.6
516,SF,5,0.462,0.111,6.3,11.8,1.7,412718
517,PG,2.5,0.37825,0.393,1.65,11.1,2.875,4026824
518,SF,16.66666667,0.419444444,0.279,4.644444444,11.93333333,1.833333333,1753038.889
519,SF,17,0.436,0.257,2.5,10.4,0.7,473504
520,PG,1.333333333,0.358333333,0.078666667,2.933333333,11.8,6.5,1193320
521,PF,0,0.37575,0,5.675,6.5,0.4,470098.25
522,SG,49.66666667,0.397666667,0.333333333,2.866666667,10.36666667,2.6,10600574
523,SF,15.25,0.4075,0.3485,2.925,11,3.45,2337843.5
524,SF,6.777777778,0.385222222,0.384222222,2.966666667,11.6,1.233333333,2421999.889
525,SF,21,0.34,0.328,4.2,12.1,0.7,1436983.5
526,PF,0,0.402,0,2.7,10.2,1.1,390027
527,SF,7,0.416666667,0.198,2.933333333,10.66666667,1.166666667,1082560
528,C,2,0.472,0.1,6.7,9.88,1.02,1064316.2
529,PF,31.66666667,0.509,0.307,2.766666667,15.06666667,1.666666667,1551840
530,C,57.57142857,0.655,0.035714286,3.914285714,10.95714286,0.628571429,6454266.286
531,C,0,0.5235,0,5.25,13.5,1.25,694423.5
532,PG,10.75,0.43925,0.2915,2.575,11.5,4.65,1319535.25
533,SF,0,0.143,0,2,6,0.7,189442
534,C,42.5,0.4923,0,3.54,16.26,1.82,7655852.8
535,C,28.25,0.5125,0.339,3.65,16.4,0.875,4694148.5
536,SG,10,0.415857143,0.372857143,2.942857143,10.98571429,1.642857143,3929435.143
537,SG,8.5,0.373,0.2535,4,9.2,2.2,1500840
538,SG,0,0.346,0.308,2,15.2,4.6,427163
539,C,0,0.449,0,11.7,13.5,0.5,682050
540,PF,34,0.337,0.336,3.4,9.7,2.7,1650000
541,PF,17.66666667,0.411666667,0.111,5.7,10.7,2.7,1398986
542,SF,63.66666667,0.465333333,0.111,3,12.26666667,1.666666667,4809840
543,SG,72.125,0.39125,0.369,1.95,10.025,8.1375,13180687.5
544,SG,0,0.35,0.308,1.5,11,2,64843
545,SG,5,0.442333333,0.367,3.533333333,14,1.166666667,476610.6667
546,SF,42.22222222,0.431,0.258333333,2.2,11.97777778,3.288888889,11416842.67
547,C,0,0.25,0,2.6,10.3,2.6,65000
548,SF,9.285714286,0.422714286,0.306,4.171428571,15.37142857,1.385714286,2694367.571
549,PG,32.75,0.39275,0.07175,3.375,9.75,8.025,3150000
550,PG,68,0.414666667,0.357333333,2.4,16.3,4.7,2704280
551,SF,0,0.275,0.243,1.55,9.1,3.05,1768380
552,SG,28.77777778,0.454444444,0.449222222,2.822222222,13.85555556,2.633333333,5086062.444
553,C,19.85714286,0.516,0,4.714285714,12.62857143,0.928571429,2128541.714
554,C,0,0.533,0,4.3,12.2,0.6,1500000
555,C,52.66666667,0.4875,0.075,4.066666667,14.56666667,1.183333333,3283657.333
556,PF,0,0.389,0.306,3.1,11.2,4.9,2000000
557,SF,5,0.389,0.395,6.4,12.8,1.6,429111
558,C,0,0.667,0,6.5,10,3,816482
559,C,24,0.418666667,0.159666667,5.966666667,9.833333333,1.166666667,11532037.33
560,SG,0,0.381,0.389,3,9.75,2.1,719436
561,SG,2.666666667,0.400333333,0.332666667,3.166666667,16.6,2.133333333,2111120
562,C,0,0.182,0,2.6,5.1,2.6,900000
563,PF,10.125,0.537875,0.124875,4.0125,16.3625,1.05,4365895.375
564,SF,0,0.372,0.321,4.5,14.3,0,457588
565,SG,0,0.25,0,3.6,7.2,0,272316
566,C,0,0.444,0,9.2,7.2,1.3,771331
567,PG,11,0.4065,0.309,3.15,9.4,4.8,1571520
568,C,1,0.404,0.188,5.8,12.5,1.7,1790280
569,PG,40,0.422,0.341,3,14.7,5.2,2055840
570,PG,2,0.41925,0.249,2.825,12.075,4.6,1768501.75
571,PF,0,0,0,18,0,0,473640
572,PG,51.16666667,0.472333333,0.373666667,1.95,16.36666667,7.416666667,4927707
573,SG,0,0.333,0.37,3.1,13.3,2.8,912538
574,SG,42.14285714,0.45,0.385142857,2.3,12.87142857,2.071428571,3107116.143
575,PF,49,0.5405,0.0333,3.22,16.27,2.59,7561003.3
576,SG,6,0.386,0.2665,3.5,9.45,3.55,631097.5
577,C,23.5,0.465,0.1665,5.95,9.4,0.6,3571320
578,SG,6,0.393,0.321,3.1,15,3.2,3520000
579,SF,56.25,0.497,0.3695,2.2,15.025,2.2,2093944.75
580,C,5.333333333,0.502,0.283,5.833333333,11.7,1.4,2222200
581,SG,0,0.357,0,3.2,11.2,4,473604
582,PF,9,0.4755,0.287,4.05,13.3,1.8,720552
583,SF,49.875,0.433875,0.3685,2.6125,15.5125,1.975,13214283.5
584,SG,0.5,0.4635,0.184,3,8.75,1.75,617899.5
585,PG,82,0.429,0.368333333,2.133333333,19.93333333,5.933333333,3202960
586,PG,34,0.4292,0.3172,3.24,15.08,6.4,5271947.4
587,PG,18.11111111,0.480222222,0.169111111,2.9,11.02222222,5.155555556,2556192.667
588,C,54.14285714,0.516142857,0.014285714,3.028571429,21.12857143,1.385714286,7699494.571
589,C,45.28571429,0.526857143,0,4.071428571,13.88571429,0.742857143,3575349.143
590,PF,51,0.438571429,0.312,2.414285714,20.07142857,2.571428571,8413488.429
591,PG,37.77777778,0.411444444,0.332111111,3.422222222,14.64444444,6.777777778,4528657.444
592,PG,1.142857143,0.376285714,0.264857143,2.114285714,12.47142857,4.457142857,725997.7143
593,PG,7.5,0.44,0.42325,3.15,14.625,4.3,3187500
594,PG,0,0.5,0,0,13.7,10.3,192228
595,SG,0,0.341,0.25,2.7,11.7,1.3,2500000
596,C,0,0.543,0,2.4,12.3,1.3,473604
597,PG,3.666666667,0.406,0.312666667,2.033333333,12.2,6.433333333,1263743.333
598,C,3.5,0.329,0,6.325,3.125,0.9,2315000
599,SF,27.875,0.439375,0.2995,4.075,20.3875,2.5125,8625000
600,C,17.14285714,0.466142857,0,5.628571429,8.128571429,0.685714286,3702738
601,C,1.5,0.5305,0,6.316666667,15.78333333,0.833333333,2463432.667
602,PF,0,0.2,0,5.3,6.7,0,20133
603,SG,7,0.318,0.182,2.4,6.4,2.9,884879
604,PG,39.25,0.40675,0.323,2.55,13.625,5.8,18372656.25
605,SF,62.3,0.4958,0.2708,2.11,14.19,1.97,10439466.7
606,PF,0,0.365,0.375,4.7,10.8,1.3,412718
607,C,0.833333333,0.467666667,0.241666667,6.683333333,10.98333333,0.8,1065994.333
608,PF,0.25,0.3995,0.35325,3.525,14.075,1.55,5915569.75
609,PG,17,0.410666667,0.368333333,2.133333333,9.133333333,8.566666667,1613321
610,SG,5.5,0.38,0.2775,2.35,10.25,1.4,531485.5
611,SF,1.4,0.3572,0.3246,3.8,11.8,1.5,640563.2
612,PG,0,0.311666667,0.292,3.733333333,11.03333333,6.166666667,1114861.333
613,PF,32,0.4955,0.1506,4.29,11.34,1.73,8704698
614,SG,49.1,0.4402,0.3836,2.2,20.93,2.32,7104092.6
615,SF,41.8,0.437,0.0334,2.56,11.3,1.6,5149444
616,SG,14,0.393857143,0.376857143,2.871428571,12.5,2.585714286,1798904.571
617,SG,63.5,0.444833333,0.392,2.466666667,15.83333333,2.3,5497364.667
618,PF,18.8,0.4836,0,3.74,10.91,0.79,2861482.1
619,PG,0.5,0.374,0.343,2.875,10.05,6.525,1567350
620,SG,43,0.427,0.375571429,2.642857143,16.48571429,3.385714286,5449919.571
621,C,6.25,0.4415,0.41675,4.575,14.875,1.95,1726477
622,PF,49,0.451833333,0.210166667,2.933333333,10.45,1.466666667,2754262.833
623,C,0.5,0.453166667,0,6.716666667,9.533333333,1.233333333,1645624.5
624,PF,0,0.545,0,5.5,16.3,0.5,167122
625,PG,30,0.438,0.306,2.3,12.6,4.7,816482
626,SG,9.75,0.4115,0.34475,4.225,16.65,2.325,1895351.5
627,SF,1,0.333,0.222,5.3,9,2.3,1035000
628,SG,1.5,0.426,0.3855,3.5,15.45,2.2,2368860
629,C,1,1,0,7.6,3.3,0,151089
630,SG,0,0,0,3,0,0,161061
631,SG,15,0.396,0.287,3.4,13,1.9,507336
632,SF,0,0.402,0.317,3.3,12.2,0.7,2277960
633,PF,29.5,0.5005,0,4.116666667,11.56666667,1.733333333,5660203.167
634,PF,0,0.385,0,7,13.2,0.9,412718
635,PF,2,0.533,0,5.3,14.9,1,1400040
636,C,22.57142857,0.523142857,0.142857143,4.742857143,15.41428571,0.628571429,5564617.143
637,SF,39.71428571,0.415714286,0.336714286,1.714285714,17.61428571,5.357142857,13989185.43
638,SF,14,0.408166667,0.111166667,3.683333333,5.95,2.366666667,696456.5
639,PG,10,0.422333333,0.157,3.166666667,8.566666667,5.3,2739863.333
640,SF,0,0.4485,0,2.95,4.05,3.45,8285437
641,SG,68.5,0.4065,0.339,3.15,12.65,1.6,2961120
642,PG,20.5,0.3705,0.3245,3.2,11.2,4.45,1300000
643,PG,0,0.273,0.5,5,9,2,29843
644,PF,20.5,0.498,0.2785,3.775,10.6875,3.275,2117662.125
645,C,0,0.457,0.25,6.55,15.35,3.45,1812566
646,SG,32.33333333,0.414666667,0.3645,1.983333333,14.41666667,1.65,1886097.333
647,PG,0,0.15,0,0.8,5,10.9,1450456
648,C,0,0.5,0,7,7,0,1254720
649,PF,0,0.458,0,7.133333333,9.5,1,369126
650,SF,40.66666667,0.449,0.377333333,3.466666667,14.33333333,2.466666667,725906.3333
651,C,20.33333333,0.404333333,0,6.1,12.33333333,2.166666667,2930939
652,PG,0,0.333,0,4,4.9,7.3,155614
653,SG,24.6,0.4116,0.3303,4.09,15.91,2.27,2528858.1
654,SF,11.5,0.473,0.1835,3.35,15.05,2.05,8477376
655,C,25.75,0.416125,0,4.75,10.175,1.5125,5607800.25
656,PG,49.2,0.4675,0.222,2.51,13.67,7.55,7296612.5
657,C,41.85714286,0.442285714,0.340142857,3.257142857,12.78571429,4.385714286,8807428.571
658,SF,3.333333333,0.33,0.239333333,5.233333333,5.933333333,2.033333333,554158.6667
659,SF,28.5,0.4486,0.4123,2.62,12.26,3.31,6846008.9
660,PF,5.333333333,0.312333333,0.162,3.366666667,11,2.6,542609.3333
661,SG,5,0.34,0.311,4.8,9.7,2.3,241731
662,PF,45.66666667,0.506,0.234222222,4.177777778,16.68888889,2.5,5901115.222
663,PG,0.8,0.4286,0.4038,3.38,18.44,4.1,1491191.6
664,C,48.4,0.5152,0.2,3.76,22.54,1.9,12913866.2
665,PF,3,0.405,0.316,3.7,18.1,2.1,5305000
666,SG,49,0.43275,0.3605,2.25,13.925,2.325,8193750
667,C,17.3,0.4728,0,5.23,11.58,0.96,4369717.8
668,SF,15,0.333,0.265,4.3,8.1,2,1016400
669,PF,66.8,0.5102,0,2.8,16.48,2.56,3718005.6
670,SF,39.25,0.4555,0.328,2.35,9.975,1.675,1722170
671,SG,6,0.41275,0.3535,2.975,11.775,3.3,767063.75
672,C,38.75,0.55525,0,5.05,10.9,1.875,2496294.25
673,PF,0,1,0,18,36,0,507336
674,SF,9.333333333,0.370333333,0.302666667,3.066666667,11.96666667,2.433333333,4344369.667
675,PG,4.25,0.39075,0.334,3.175,10.575,4.85,796206
676,PF,30.25,0.43925,0.329,4.175,15.725,2.275,2265819.75
677,PF,12,0.390666667,0.285666667,3.266666667,14.06666667,1.666666667,2251273.667
678,PF,0.666666667,0.445,0,9.133333333,12.13333333,0.6,820923.3333
679,SF,0,0.327,0,3.6,6.6,0.7,835810
680,SG,18.42857143,0.453,0.424857143,2.814285714,15.78571429,1.471428571,2486565.429
681,PF,26.33333333,0.467333333,0.302333333,4.5,14.9,1.9,1453386.667
682,PF,1,0.5015,0,3.55,9.25,0.55,1065780
683,C,21,0.568,0,5.033333333,14.33333333,0.433333333,4875477.667
684,C,32,0.5168,0.1,4.84,12.76,1.08,3820284.2
685,SG,6.5,0.4745,0.3325,2.5,19.55,1.25,1929540
686,C,13.2,0.3882,0.1846,5.04,13.08,1.06,1362762.6
687,SG,0,0.25,0.2,2.8,10.4,1.4,473604
688,PF,41.25,0.434,0.353875,3.45,12.4875,2.0125,7445867.125
689,SF,1,0.398,0.346,4.1,12.2,0.8,6388500
690,SG,13.6,0.4162,0.308,2.52,15.2,3.94,1605049.6
691,PF,8,0.55,0.409,3.7,14.1,1.8,816482
692,C,20.75,0.50125,0,4.125,6.425,0.225,1556020.25
693,PF,1,0.4295,0.391,4.1,16.2,1.65,2500000
694,PF,0,0.5,0,4.9,14.1,1.1,835810
695,PF,6.714285714,0.439714286,0.267714286,4.814285714,8.714285714,1.7,3687754.857
696,PG,10,0.382,0.364,2.7,9.3,4.6,1238640
697,PG,65.33333333,0.495777778,0.420555556,1.511111111,16.3,10.93333333,10786166.67
698,SG,30,0.402,0.361,1.6,15.2,3,538090
699,C,0,0.4,0,4.05,3.15,0,372015.5
700,C,1,0.415,0,5.4,11.8,1.7,398762
701,SG,5.8,0.4166,0.3752,2.5,16.6,2.88,1728316.8
702,SG,0,0.205,0.167,3.3,6.6,3.3,1056720
703,PG,5,0.444,0,5.1,11.2,2.7,182047
704,PG,56.4,0.44,0.3821,3.1,15.44,6.71,5379381.7
705,C,38,0.5336,0.0666,4.42,12.16,1.96,6446000
706,SF,2,0.365,0.382,4.75,8.85,0.75,3073125
