Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
PG,20,0,368,5.5,12.8,0.427,0.7,2.4,0.28,4.8,10.4,0.462,3,3.8,0.795,0.5,3.1,3.6,3.1,0.7,0.4,1.9,2.9,14.7,1448490
PG,10,10,311,6.7,19,0.354,1.9,5.4,0.34,4.9,13.5,0.359,3.1,3.7,0.844,1,2.7,3.7,5,0.6,0.1,3.9,1.7,18.4,18862875
PF,82,82,2312,5.2,12.1,0.432,2.5,6.7,0.37,2.7,5.4,0.509,1.2,1.5,0.821,1.1,5.3,6.5,1.5,0.9,1,1.4,3.8,14.2,8175476
PF,67,66,2358,8,15.3,0.519,0,0.1,0.222,7.9,15.2,0.522,5.3,6.7,0.791,3.2,7.1,10.3,1.6,1.4,2.9,1.7,3.1,21.3,5607240
SG,55,28,1278,5.7,11.6,0.494,0.3,1.3,0.234,5.4,10.3,0.527,2.1,3.4,0.628,2.2,3.6,5.9,2.6,2.5,0.5,2.5,3.4,13.9,4831461
C,72,0,1396,4.6,7.1,0.644,0.1,0.3,0.25,4.5,6.8,0.662,3.1,4.4,0.71,3.3,6.4,9.8,0.5,0.8,2.5,1.4,4.2,12.3,5375000
SG,19,0,279,4.8,13.9,0.343,1,3.7,0.276,3.7,10.2,0.367,2.2,2.7,0.81,0.4,3.1,3.5,2.7,1.3,0.3,2.7,2.3,12.8,4500000
SG-SF,78,8,1726,3.1,8.6,0.363,1.3,3.4,0.387,1.8,5.2,0.348,0.8,1.1,0.769,0.4,3,3.4,3.1,1,0.4,1.1,2.6,8.4,2000000
SG-SF,78,8,1726,3.1,8.6,0.363,1.3,3.4,0.387,1.8,5.2,0.348,0.8,1.1,0.769,0.4,3,3.4,3.1,1,0.4,1.1,2.6,8.4,1000000
PG,61,14,1141,4,10.3,0.385,1.2,3.4,0.343,2.8,6.9,0.406,0.5,0.8,0.654,0.7,2.3,3.1,5.6,1,0.3,2.1,2.9,9.7,2750000
PF,55,47,1478,5.8,14.1,0.409,0.9,3.2,0.282,4.9,10.9,0.446,2.6,3.2,0.823,2.6,5.7,8.3,1.8,1.1,0.2,1.5,3.3,15.1,7900000
SG,73,73,2552,6.5,14.3,0.459,1.8,4.2,0.427,4.7,10,0.473,3.9,4.7,0.815,0.5,3.2,3.7,3.5,0.5,0,2.1,1.9,18.8,7750000
SF,82,82,2805,6.2,15,0.412,1.7,5.1,0.341,4.5,9.9,0.448,3.6,4.6,0.795,0.7,4.2,4.9,1.8,0.7,0.6,2.1,2.3,17.7,9445000
C,61,1,754,2.7,6.2,0.431,0,0,0,2.7,6.2,0.434,1,1.2,0.8,3.3,6.7,10,1.7,1.6,0.6,1.6,4.5,6.3,5958750
SF,80,80,2898,7.2,16.9,0.424,2.3,6.2,0.364,4.9,10.7,0.458,5,5.8,0.864,0.8,5.9,6.7,3.5,1.9,0.3,2.8,2.5,21.6,15925680
PF,82,8,2351,6.6,13.7,0.479,0,0.1,0,6.6,13.6,0.483,3.2,4.3,0.751,3.1,5.5,8.5,1.4,0.6,1.7,2.3,3.2,16.4,8000000
C,82,82,2603,4.9,8.9,0.551,0,0,0,4.9,8.9,0.552,2.7,3.3,0.818,4.5,5.2,9.7,1,0.3,1.9,1.2,2.7,12.6,6124728
SF,66,65,1923,6.3,12.1,0.522,1.3,3.4,0.379,5,8.7,0.579,1.9,2.4,0.802,1.4,6.3,7.7,2.5,2.1,0.9,1.5,2.4,15.8,2894059
PG,73,73,2178,4.2,9.3,0.454,1.4,3.7,0.385,2.8,5.5,0.5,2,2.7,0.742,0.7,2.9,3.5,5.9,2,0.3,2.7,3.5,11.8,4000000
PG,44,1,866,6.8,15.9,0.428,2.4,6.4,0.377,4.4,9.5,0.463,3,3.5,0.835,0.9,2.5,3.4,4.7,1.5,0.2,2.4,3.8,19,2106720
PG,44,1,866,6.8,15.9,0.428,2.4,6.4,0.377,4.4,9.5,0.463,3,3.5,0.835,0.9,2.5,3.4,4.7,1.5,0.2,2.4,3.8,19,154918
PF,69,30,1376,6,12.1,0.501,0,0.1,0,6,12,0.503,3.1,3.8,0.813,3.3,7.4,10.7,1.8,0.8,1.6,1.7,3.6,15.1,4300000
PG,79,79,2542,6.5,14.7,0.438,1,3.2,0.329,5.4,11.5,0.469,4.5,5.3,0.846,0.5,2.5,2.9,7.5,1.3,0.2,3.3,2.2,18.5,8000000
PG,71,9,1939,5.5,13.3,0.415,2.5,6.2,0.401,3.1,7.2,0.427,3.7,4.2,0.885,0.3,2.1,2.4,5.8,1,0.1,2.3,2.7,17.3,3000000
C,62,62,1207,2.6,5.8,0.451,0,0,0,2.6,5.7,0.453,1.1,2,0.552,2.4,6.7,9.1,2,0.8,1,2.7,5.3,6.3,9654342
C,62,62,1207,2.6,5.8,0.451,0,0,0,2.6,5.7,0.453,1.1,2,0.552,2.4,6.7,9.1,2,0.8,1,2.7,5.3,6.3,434547
PG,55,28,1498,3.2,8.5,0.377,1.9,5,0.376,1.3,3.4,0.378,0.8,1,0.767,0.3,3.5,3.8,7.4,1.3,0.2,2.5,2,9.1,2077000
SG,61,61,1584,3.2,7.7,0.415,1.1,3.5,0.316,2.1,4.3,0.495,1.2,1.6,0.768,1.1,3.9,5,2.1,1.8,0.4,1.2,2,8.7,4150000
SG,73,5,1950,6.9,15.7,0.436,0.4,1.6,0.273,6.4,14.1,0.455,4.5,5.4,0.836,0.7,2.4,3.1,2.8,1,0.2,2.3,2.4,18.7,1227985
PG,80,79,2728,5.6,15,0.373,2,6,0.337,3.5,8.9,0.397,3.2,4.2,0.751,0.8,2.4,3.2,8,1.3,0.1,2.8,2.1,16.4,8000000
SG,41,12,643,4.4,10,0.438,1.1,2.4,0.452,3.3,7.6,0.434,1.4,1.7,0.833,0.6,2.7,3.3,6.5,1.3,0.2,2.6,2.8,11.2,2077000
PF,34,0,511,5.8,14.6,0.396,2.4,7,0.34,3.4,7.5,0.449,1.9,2.5,0.771,1.1,4.6,5.6,2,1,0,2.4,5.1,15.9,3805000
SG,67,67,2591,3.8,9.6,0.397,0.9,3.3,0.283,2.9,6.3,0.457,3.6,4.7,0.769,1.2,3.4,4.6,2.4,1.8,0.5,1.4,1.5,12.2,2008748
PG,80,35,2069,5.6,12.1,0.467,1.2,3.3,0.376,4.4,8.8,0.501,3.3,3.9,0.857,0.8,2.5,3.3,5.2,1.6,0.3,2.3,2.6,15.9,4797664
PG,71,71,2496,7.7,17.8,0.43,1.8,5,0.358,5.9,12.9,0.458,4.2,4.9,0.861,0.7,3,3.7,6.2,1.6,0.3,2.7,2.4,21.3,7070730
SG,79,47,1973,5.4,11.2,0.48,1.3,3.5,0.371,4.1,7.7,0.531,1.8,2,0.884,0.5,2.9,3.4,2.1,1.2,0.5,1.3,2.3,13.9,5450000
PG,82,82,2937,6.8,16,0.424,2.7,6.8,0.394,4.1,9.2,0.447,4.5,5.2,0.871,0.4,3.1,3.5,5.6,0.8,0.3,2.4,2.4,20.8,3340920
SF,68,13,984,4.1,10.9,0.374,2.5,7.4,0.342,1.5,3.5,0.442,1.9,2.5,0.754,1.1,5.9,7,2.3,0.8,0.6,1.4,2.3,12.5,3150000
PG,82,82,2980,7,16.2,0.433,1.3,3.7,0.351,5.7,12.4,0.458,3.8,4.8,0.805,0.5,3.6,4,8.7,1.8,0.5,3.6,2.6,19.1,14746000
SG,79,79,3017,7.2,16.8,0.429,0.8,2.5,0.305,6.4,14.3,0.451,6.2,7.5,0.824,0.6,3.5,4.1,3.7,1,0.3,2.1,2.4,21.4,9500000
SF,78,13,2157,4.2,9.8,0.433,2.4,6.2,0.392,1.8,3.6,0.502,1.8,2.1,0.84,0.6,3.1,3.7,1.6,0.7,0.3,1,2.5,12.7,5381750
PF,80,77,2178,7.4,13.6,0.545,0,0,0,7.4,13.5,0.547,3.3,5.1,0.65,3.9,7.4,11.3,1.6,1.2,1.1,2.2,3.2,18.1,2249768
SF,77,77,2800,5.5,13.3,0.413,1.1,3.6,0.304,4.4,9.7,0.453,4,4.9,0.816,0.8,4.2,5,5.1,1.4,0.5,2.7,2,16,14746000
PG,83,19,2214,5.4,12.5,0.429,0.6,2,0.282,4.8,10.5,0.457,5.3,6.6,0.807,0.6,2.7,3.3,5.5,0.8,0.1,2.4,1.5,16.6,2077000
PF,73,73,2201,6.4,12.2,0.522,0,0,0,6.4,12.2,0.523,3.1,4.6,0.669,3.3,7.2,10.4,1.5,1.2,1.8,2.1,3.9,15.9,12833333
C,71,71,2298,9.3,18.7,0.496,0,0.1,0,9.3,18.5,0.499,6.8,9.3,0.726,3.4,9.6,13,3.2,1.7,1.4,3.9,4.2,25.3,13701250
SF,74,74,2783,6,12.8,0.472,1.7,4.5,0.37,4.3,8.2,0.528,2.1,2.9,0.742,0.9,4.4,5.3,3.9,1.1,0.4,1.9,2.2,15.9,14700000
C,59,50,1271,5.1,9.8,0.523,0,0.1,0,5.1,9.7,0.528,3.4,4.9,0.699,3.5,6.8,10.3,2.5,0.8,0.9,2.1,3.3,13.7,9250000
PG,72,54,2497,7.2,15.8,0.453,1.8,5.2,0.349,5.3,10.6,0.504,5,5.9,0.85,0.7,2.4,3,6.5,1.3,0.1,3.1,2.7,21.1,7238606
SG,81,78,2485,5.2,12.7,0.413,2.7,7.2,0.38,2.5,5.5,0.456,2.3,2.7,0.849,0.5,2.8,3.4,4.2,1,0.6,2.1,3,15.5,3135000
SG,68,59,1651,4.8,11,0.432,2.9,6.9,0.415,1.9,4.1,0.46,1.1,1.4,0.794,0.5,4.4,5,2.3,1.4,1.3,1.7,2.3,13.5,4025000
PG,63,5,1193,4.4,10.1,0.437,1.6,4.4,0.366,2.8,5.7,0.492,2.1,2.7,0.784,0.6,2.5,3,3.2,1.8,0.2,1.8,2,12.5,2106720
C,58,0,1077,7.5,11.1,0.677,0,0,,7.5,11.1,0.677,2.6,3.5,0.726,3.4,4.7,8.2,1,1.1,1.8,1.2,3.1,17.5,5000000
C,39,13,736,8.6,16.9,0.509,0,0.1,0,8.6,16.8,0.513,2.5,3.3,0.765,2.6,8.6,11.2,2.8,0.5,2,3.6,4.5,19.8,4800000
PF,20,0,180,7,18.4,0.38,2.8,11.2,0.25,4.2,7.2,0.583,1.6,2.8,0.571,1.2,5.6,6.8,1.2,0.8,1,1.4,3.2,18.4,1316809
PF,63,4,956,5.8,10.9,0.534,0,0,,5.8,10.9,0.534,1.8,3.4,0.528,3.5,6.3,9.8,1,0.6,1.6,1.5,4.3,13.4,981084
PF,32,15,633,3.6,7,0.512,0,0.1,0,3.6,6.9,0.516,0.6,1.1,0.579,2,5.6,7.6,2.8,1.4,1.5,1.5,4.8,7.8,414551
PF,82,61,2007,4.5,8.9,0.506,0,0,,4.5,8.9,0.506,1.5,2.6,0.579,2.7,6.7,9.5,1,0.6,1,1.7,4.5,10.5,6037500
C,81,81,2619,6.6,10.6,0.623,0,0,0,6.6,10.5,0.625,1.9,4.5,0.418,6,8.7,14.7,0.5,1.4,1.8,1.5,3.8,15.1,2568360
SG,52,23,1346,6,14.7,0.407,2.2,6.1,0.37,3.7,8.6,0.433,2,2.4,0.864,0.6,2.7,3.3,3,0.7,0.3,2.5,3,16.3,8000000
SF,72,22,2028,6.9,15.9,0.436,0.4,1.7,0.221,6.6,14.2,0.461,4.2,5.5,0.771,1.3,4.7,6.1,6.4,1.5,0.4,3.1,2.8,18.5,10763500
SG,81,81,2868,7,15.8,0.444,2.8,6.7,0.417,4.2,9.1,0.464,1.8,2.3,0.795,0.5,2.6,3.1,2.3,0.9,0.5,1.7,2.9,18.7,3075880
SF,4,0,24,0,0,,0,0,,0,0,,0,0,,0,4.5,4.5,3,1.5,0,1.5,1.5,0,7317500
PF,69,52,1859,6.4,12.7,0.508,0,0.2,0,6.4,12.5,0.514,2.9,5.6,0.517,4,8.2,12.2,1.9,0.9,1,2.5,3.4,15.8,5381750
SF,20,6,236,4.7,10.4,0.456,4.3,8.2,0.519,0.5,2.1,0.214,1.1,1.7,0.636,0.3,3.2,3.5,1.4,0.5,0.6,0.6,0.9,14.8,1448490
SG,77,70,2556,5.8,12.6,0.463,2.3,5.7,0.401,3.5,6.9,0.514,3.1,3.6,0.857,0.4,2.3,2.7,1.9,1.6,0.1,1.6,1.7,17,6000000
SG,64,64,2057,6.2,14.3,0.436,1.8,4.5,0.391,4.5,9.8,0.456,3.1,3.9,0.785,0.5,2.4,2.9,3.6,1.3,0.2,2.3,2,17.3,14898938
PF,34,13,488,3.5,7.7,0.448,0,0,,3.5,7.7,0.448,1.1,2.3,0.484,2.1,4.3,6.3,0.7,0.6,1.5,1,3.5,8,1316809
SG,76,9,1426,6,13.1,0.458,2.2,4.9,0.451,3.8,8.2,0.462,1.8,2.2,0.828,0.7,2.8,3.5,1.5,1,0.3,1.3,2.6,16.1,3200000
SF,62,55,1927,5.7,13.8,0.416,2.3,6.6,0.348,3.5,7.2,0.478,2.1,2.8,0.724,1.1,4.4,5.5,2.1,0.9,0.6,1.5,3.6,15.8,6757913
C,80,1,562,3.5,8.1,0.429,0,0,,3.5,8.1,0.429,1,1.9,0.533,4.2,7,11.2,1.3,0.9,1.9,2.4,4.9,7.9,1448490
SF,80,25,2016,6,12.4,0.485,2.3,5.2,0.43,3.8,7.2,0.525,2,2.3,0.847,0.3,3.7,4,3.2,0.9,0.1,1.7,2.3,16.3,2873750
PG,34,34,1143,6.4,14.3,0.447,0.9,2.4,0.39,5.4,11.9,0.459,1.6,2,0.81,0.9,3.6,4.5,8.4,1.8,0.4,3.3,2.9,15.3,9904495
PF,73,7,1618,7.1,15,0.476,0.3,1.2,0.278,6.8,13.8,0.494,3.6,4.9,0.742,2.7,6,8.7,2.5,1.7,0.8,2.4,3.7,18.3,8471339
PF,64,4,978,3.4,7.2,0.474,0,0.1,0,3.4,7.1,0.479,4.6,6.8,0.681,4.4,6.1,10.6,0.6,1,0.7,1.7,4.9,11.5,3326235
SG,51,34,984,6.5,15,0.435,3,7.7,0.393,3.5,7.2,0.48,2.3,2.7,0.853,0.7,3.1,3.8,1.9,1.7,0.5,1.6,3.8,18.4,4205000
C,79,3,982,7.1,16.2,0.441,0.3,1.1,0.258,6.9,15.1,0.455,4,4.9,0.821,3.7,6.9,10.6,1.2,0.4,1.2,2.4,5.4,18.6,3657500
C,31,10,606,3.8,6.4,0.598,0,0,,3.8,6.4,0.598,1.2,3,0.42,3.3,7.1,10.3,1.4,0.5,3,1.4,3.9,8.9,1500000
PF,78,13,1214,6.2,11.7,0.534,0,0.1,0,6.2,11.6,0.537,2.3,3.6,0.636,4.1,6.8,10.9,2.1,1.8,0.6,2.3,5.7,14.7,2000000
C,80,78,2470,5.9,12.9,0.456,1.9,4.5,0.416,4,8.4,0.478,1.7,2.2,0.783,1.9,7.7,9.6,3.5,0.6,1.4,2.5,3.5,15.3,5305000
PF,82,82,2594,5,10.6,0.477,0,0,0,5,10.5,0.478,3.3,4.7,0.693,3.7,6.7,10.5,1,0.6,0.5,1.5,2.6,13.3,5138430
C,81,81,2282,5.7,10.7,0.531,0,0,0,5.7,10.6,0.532,3.1,4.1,0.762,3.6,7.7,11.3,0.9,0.4,1.1,2.1,3.9,14.5,3678360
C,57,57,1812,7,13.8,0.507,0,0,,7,13.8,0.507,2.1,2.7,0.766,3.7,8.8,12.4,2.1,1.2,0.9,2.2,3.4,16.1,2751260
PG,76,54,1974,4.3,8.9,0.483,0,0.1,0.167,4.3,8.8,0.486,2.9,3.5,0.827,1.2,3.3,4.5,4.5,1.7,0.6,1.9,3.1,11.5,5305000
C,54,54,1663,8.2,15.2,0.541,0,0,,8.2,15.2,0.541,4,5.4,0.747,4.5,5.7,10.1,1.1,0.6,0.5,1.8,2.8,20.4,12100000
C,42,39,1257,6.4,14.4,0.442,0.9,3.1,0.278,5.5,11.3,0.487,2.4,2.9,0.824,2,4.4,6.4,1.3,0.4,1.5,1.7,2.9,16,11500000
PF,68,44,1662,5.9,12.8,0.457,0.1,0.2,0.364,5.8,12.6,0.459,2.1,3,0.693,2.3,5.3,7.6,1.7,1.3,0.6,1.6,3.4,13.9,6600000
PF,68,44,1662,5.9,12.8,0.457,0.1,0.2,0.364,5.8,12.6,0.459,2.1,3,0.693,2.3,5.3,7.6,1.7,1.3,0.6,1.6,3.4,13.9,1227985
PF,54,20,899,2.8,6,0.473,0,0,,2.8,6,0.473,2.9,5.2,0.554,4.6,8.8,13.4,0.8,1.5,0.1,2.3,4.8,8.6,1768653
C,5,5,79,7.7,17.3,0.447,0,0,,7.7,17.3,0.447,0.5,0.5,1,4.6,3.2,7.7,0.9,0.5,3.2,3.6,7.3,15.9,11250000
PF-SF,64,7,1003,3.1,6.9,0.451,0.1,0.6,0.235,3,6.3,0.472,1.7,2.4,0.687,2,3.2,5.2,1.3,1.1,0.5,1.4,2.4,8,4382576
C,48,19,968,3.8,7.1,0.532,0,0,,3.8,7.1,0.532,2.9,4.7,0.619,3.8,10.3,14.1,0.9,0.5,1.4,2.2,3.4,10.4,8374646
SF,55,4,1083,3.9,9.8,0.401,2.3,6.4,0.358,1.6,3.4,0.485,0.3,0.6,0.526,0.7,3.4,4.1,2.1,0.9,1.1,1,4,10.5,1316809
PF,65,13,1533,5.3,11.5,0.46,1.3,3.5,0.364,4,7.9,0.503,1.2,1.7,0.704,2.7,5.3,8,1.8,1.3,0.9,1.5,3.7,13,5831326
PG,72,12,1557,5.4,13.4,0.401,2.2,5.7,0.387,3.2,7.7,0.411,1.9,2.2,0.874,1,2.2,3.2,5.4,1.2,0.3,2.7,3.4,14.9,1145685
SG,72,27,1741,5.2,13.2,0.394,2.3,6.5,0.345,3,6.7,0.443,1.9,2.3,0.804,1.2,2.9,4.1,1.6,1.2,0.2,1.4,2.3,14.5,8575000
C,80,22,1349,6.1,12.2,0.495,0,0,,6.1,12.2,0.495,1.6,2.5,0.645,4.3,6.9,11.2,1,0.9,1.9,1.8,4.9,13.7,3000000
PF,78,78,2360,3.8,8.6,0.436,1.6,4.4,0.361,2.2,4.2,0.516,0.9,1.3,0.729,1.3,4.4,5.7,5.1,0.9,0.7,1.3,2.9,10.1,5305000
SF,73,73,2341,4.6,9.9,0.47,1.5,4.1,0.362,3.2,5.8,0.548,1.7,2.2,0.773,1.6,4.6,6.2,2.1,1.7,0.3,1.2,2.9,12.5,2442455
SF,81,81,2609,5.4,11.1,0.481,0.8,2.9,0.28,4.5,8.2,0.552,2.2,3.1,0.718,0.9,2,2.9,1.9,2.1,0.4,1.4,2.9,13.8,4702500
SG,50,2,378,4.9,10.5,0.464,2.5,5.9,0.419,2.4,4.6,0.521,0.8,1.3,0.571,0.6,3.3,3.9,1.6,0.7,0.9,1,2.9,13,1448490
PF,72,45,1553,5.1,9.3,0.551,0,0,0,5.1,9.3,0.554,1.1,1.8,0.618,3.5,5.3,8.8,1.5,1,1,1.3,3,11.4,5000000
PG,71,33,2054,5.2,11.6,0.446,1.4,4,0.358,3.7,7.6,0.492,3.8,4.6,0.823,0.6,2.7,3.3,5.2,1.2,0.5,3.1,2.9,15.6,8374646
PF,81,7,1635,5.2,11.2,0.464,0,0.1,0,5.2,11.1,0.468,0.8,1.5,0.567,2.5,4.8,7.3,1.8,1.4,1.3,0.9,3.2,11.2,831942
PG,72,19,1686,5.3,13.2,0.402,1.6,4.5,0.358,3.7,8.6,0.425,2,2.5,0.797,0.5,2.6,3.1,4.1,1.3,0.2,1.8,3.4,14.2,3000000
PG,43,40,1416,6.7,14.1,0.477,1.3,3.6,0.357,5.5,10.6,0.517,4.7,6,0.772,0.7,4.4,5.1,6,1.8,0.4,3.6,2.5,19.4,12173913
SF,63,4,1065,4.4,11,0.399,1.4,4,0.35,3,7.1,0.426,1.4,1.8,0.808,1.2,4.5,5.7,1.6,0.7,0.6,0.9,3.2,11.6,4000000
SF,63,4,1065,4.4,11,0.399,1.4,4,0.35,3,7.1,0.426,1.4,1.8,0.808,1.2,4.5,5.7,1.6,0.7,0.6,0.9,3.2,11.6,3000000
PG,79,1,1471,6.2,16.1,0.387,1.8,5.7,0.316,4.4,10.4,0.426,1.9,2.4,0.79,0.4,3.4,3.8,7.4,0.6,0,3.1,3.2,16.2,1310286
