Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
C,46,25,875,5.3,11.3,0.474,0,0,0,5.3,11.2,0.476,3.7,5,0.744,4.3,5.5,9.8,2.1,1.2,0.8,1.7,4.8,14.4,915243
SF,72,7,1396,5.7,13.6,0.418,3.5,9,0.39,2.2,4.6,0.472,1.1,1.6,0.71,1.5,5.3,6.9,1.5,0.7,0.6,1.4,3.7,16,3368100
SF,7,0,34,6.4,14.8,0.429,4.2,11.6,0.364,2.1,3.2,0.667,0,0,,2.1,3.2,5.3,0,2.1,0,1.1,3.2,16.9,1000000
SF,7,0,34,6.4,14.8,0.429,4.2,11.6,0.364,2.1,3.2,0.667,0,0,,2.1,3.2,5.3,0,2.1,0,1.1,3.2,16.9,150000
SG,72,4,1271,3.5,8.4,0.412,1.6,4.4,0.368,1.8,4,0.461,1.1,1.4,0.792,0.8,2.7,3.5,5.3,0.9,0.1,1.7,3.4,9.6,816482
SG,77,12,1231,3.8,9.8,0.384,1.7,5.2,0.32,2.1,4.6,0.456,0.9,1.2,0.756,0.6,3.1,3.6,2,0.8,0.4,1.3,2.5,10.1,1472400
SG,81,1,1875,5.6,13.2,0.428,2.5,6.9,0.363,3.1,6.3,0.498,2,2.5,0.828,0.4,2,2.3,1.3,0.8,0.1,0.9,2.8,15.8,1250640
SF,28,0,226,2.7,6.4,0.425,1.1,3.7,0.304,1.6,2.7,0.588,1,1.1,0.857,1.4,5.1,6.5,1.9,0.8,0.3,2.1,3,7.5,1302840
SF,59,6,870,4.6,10.9,0.42,2.4,6.2,0.391,2.2,4.7,0.46,2,2.7,0.738,0.5,4,4.6,1.4,1.1,0.3,1.4,2.9,13.6,1145685
SG,70,24,2072,7.5,17.3,0.433,1.6,4.3,0.368,5.9,12.9,0.455,2.8,4.1,0.685,0.6,2.8,3.4,3.6,1.1,0.3,2.7,2.7,19.3,4062000
C,42,3,362,3.3,7.8,0.423,0,0,,3.3,7.8,0.423,2,3.1,0.645,3.9,6,9.8,0.4,0.4,1.8,2.6,6.8,8.6,3649920
PF,27,2,473,4.6,11.7,0.39,2.7,7.2,0.379,1.8,4.5,0.407,1.1,1.4,0.778,1.4,5.3,6.7,2.2,0.5,0.8,1.1,4,12.9,981084
PG,42,6,591,3.8,11.6,0.326,1.5,5.1,0.298,2.3,6.5,0.349,0.6,1,0.625,0.7,1.6,2.4,2.6,0.9,0,1.3,2.5,9.7,123827
PG,70,68,2262,5.4,14.3,0.38,1.8,5.3,0.33,3.7,8.9,0.41,1.6,1.8,0.903,0.6,2.7,3.3,6.3,0.7,0.1,2.1,2.3,14.2,2548560
PG,31,0,327,3.5,11.1,0.317,1.3,4.1,0.324,2.2,7,0.313,0.7,1.2,0.545,1,3.3,4.3,5.7,1,0.3,3.2,1.9,9,2106720
SG,82,55,2187,4.2,11.2,0.376,1.6,4.9,0.32,2.6,6.3,0.419,1.9,2.4,0.804,0.9,3,3.9,1.3,0.7,0.3,1.6,3.3,11.9,3026280
PG,82,6,2014,3.7,8.9,0.414,1.1,3.1,0.345,2.6,5.8,0.451,0.9,1.2,0.779,0.3,2.6,2.9,4.4,1.4,0.1,2.3,2.8,9.4,2038206
C,52,0,727,3.8,8,0.475,0,0.1,0,3.8,7.9,0.481,1,1.4,0.69,4.4,5.9,10.3,1.8,0.5,1.1,1.6,4.7,8.6,3013512
PF,70,0,873,5.8,12.1,0.481,0,0,0,5.8,12,0.483,2.4,4.2,0.564,4.3,8.3,12.7,1.4,0.9,0.8,2.4,5.4,14,3678360
SG,63,0,664,4.1,12.8,0.321,1.6,5.5,0.294,2.5,7.3,0.341,3.7,4.9,0.756,1.1,3.3,4.4,3.7,1.4,0.9,2.6,2,13.6,3282056
C,50,26,925,4.8,11.4,0.418,2.2,6.7,0.327,2.6,4.8,0.545,1.9,2.6,0.758,2.2,5.9,8.1,2.3,0.7,0.5,2.1,4.9,13.7,1250000
SF,41,0,265,7.5,15.9,0.47,4.5,10.7,0.418,3,5.2,0.579,1.4,1.9,0.714,1,3.4,4.3,2.4,0.4,1,1.9,5.2,20.8,3135000
SG,79,3,1506,4.7,10.9,0.428,1.4,3.8,0.354,3.3,7.1,0.468,1.2,1.6,0.765,0.7,2.6,3.3,2.7,1.4,0.3,1.3,2.5,11.9,948163
SG,75,0,638,2.9,8,0.362,0.3,1.6,0.207,2.5,6.3,0.402,1.7,2.4,0.698,1.2,2.7,3.8,4.1,2,0.6,2.4,4.1,7.8,981084
PF,54,17,768,4.5,12.2,0.372,1.9,5.7,0.336,2.6,6.5,0.403,1,1.6,0.647,1,5.7,6.7,0.8,0.8,1.2,1.5,3.1,12,62552
PF,59,25,1312,4.3,10.2,0.423,1.3,3.9,0.338,3,6.3,0.476,3,3.7,0.815,1.2,4.9,6,2.6,0.9,1.2,1.3,4,13,1650000
SG,40,16,399,3,6.1,0.485,0.2,1.2,0.154,2.8,5,0.564,0.6,0.9,0.7,3.2,5.2,8.5,1.4,1.7,0.9,1.7,6.7,6.8,1160880
SF,60,12,1019,5.2,13.3,0.391,2.5,7,0.354,2.7,6.3,0.433,1.4,1.8,0.784,1.1,5.7,6.9,1.8,1.6,0.7,1.6,2.4,14.3,150591
SF,37,0,319,3.7,10.3,0.363,0.5,2.4,0.19,3.3,7.9,0.414,0.9,1.4,0.667,2.4,4.1,6.4,1.1,0.9,0.1,1.6,2.9,8.8,4470480
SG,71,7,1173,4.4,9.5,0.457,0.6,1.9,0.311,3.8,7.7,0.492,1.4,2.2,0.611,0.7,3.5,4.2,6.4,2,0.2,3.1,3.6,10.6,816482
SG,31,2,377,2.7,8.8,0.304,0.9,4.1,0.209,1.8,4.7,0.388,0.9,1.2,0.692,0.8,3.3,4.1,6.3,2.4,0.2,2.5,4.8,7.1,1316809
C,58,4,684,3.6,6.8,0.535,0,0.1,0,3.6,6.7,0.539,2.7,3.8,0.712,2.6,5.3,7.9,1.4,0.8,2.6,1.1,3.8,10,816482
SG,13,0,158,3.6,9.6,0.381,0.9,4.1,0.222,2.7,5.5,0.5,0.9,0.9,1,0.7,4.3,5,2.5,0.2,0.2,2.5,2.5,9.1,1312920
SF,40,0,789,3.9,9.8,0.397,2,5.8,0.339,1.9,4,0.483,1.7,2,0.86,1.4,3,4.4,1.4,1.2,0.2,1,2.9,11.4,166897
SF,40,0,789,3.9,9.8,0.397,2,5.8,0.339,1.9,4,0.483,1.7,2,0.86,1.4,3,4.4,1.4,1.2,0.2,1,2.9,11.4,107674
SG,49,0,519,7.4,15.7,0.471,2.8,5.8,0.476,4.6,9.9,0.469,1.3,1.5,0.905,0.6,3.1,3.6,4.4,1,0.2,3.3,2.4,18.9,948163
PF,76,5,1174,5.5,12.9,0.429,0.9,2.7,0.315,4.7,10.1,0.459,1.4,1.7,0.825,1.6,6.2,7.8,0.8,0.6,0.7,1.6,4.6,13.3,1545840
C,31,6,390,3.5,7.7,0.458,0,0,,3.5,7.7,0.458,1.9,3,0.656,3.5,8.2,11.7,0.5,0.6,2,1.7,6.1,9,816482
SG,37,0,290,7.1,15.4,0.46,0.4,1.4,0.273,6.7,14,0.478,3.2,5,0.65,3,3.6,6.6,0.7,1,0.1,2,3,17.8,1971960
PF,14,0,95,2.7,5.3,0.5,0,0,,2.7,5.3,0.5,2.3,4.2,0.545,2.7,6.8,9.5,0.4,1.1,0.4,1.9,5.7,7.6,1227985
PG,70,70,2414,6.4,15.7,0.405,0.8,3.1,0.264,5.5,12.6,0.44,3.8,5.5,0.703,1.5,5,6.5,6.6,1.9,0.6,3.7,3.2,17.4,2300040
PF,20,0,215,5.2,12.2,0.425,0,0.5,0,5.2,11.7,0.443,2.3,2.3,1,2.8,5.9,8.7,1.2,0.5,1.7,2,4.9,12.7,816482
C,65,13,1089,4.7,9.9,0.477,0,0,,4.7,9.9,0.477,2.1,3.1,0.681,2.7,5.7,8.4,1.7,0.8,1.6,1.5,4.4,11.6,915243
SG,38,0,476,5.6,13.5,0.416,2.3,6.1,0.375,3.3,7.4,0.449,1.7,2.6,0.676,0.5,3.1,3.6,2,1.1,0.2,2.6,4,15.2,2421000
SG,48,1,392,4,10.7,0.376,0.9,3.9,0.238,3.1,6.9,0.453,1.1,1.8,0.6,0.4,3.7,4,4.6,0.9,0.1,2,1.7,10.1,948163
SF,53,5,655,3.7,9.7,0.379,1.8,4.9,0.36,1.9,4.8,0.398,0.8,0.9,0.938,1.9,5.3,7.3,1.3,0.9,0.1,0.5,3.1,9.9,880000
C,30,0,146,2.7,5.7,0.478,0,0.2,0,2.7,5.4,0.5,1.5,2.7,0.545,3.7,6.7,10.4,0.7,0.7,2,2.5,5.9,6.9,915243
SG,67,15,911,5.8,13.6,0.429,1.7,5.1,0.336,4.1,8.5,0.484,2.6,4.3,0.606,0.4,4.2,4.6,3.6,1.7,0.5,3.1,4,15.9,2000000
PG,49,0,641,4,10.6,0.383,0.6,2.4,0.238,3.5,8.2,0.425,1.6,2.4,0.674,0.3,3.1,3.4,5.2,1,0,3.4,3,10.3,1690680
SF,5,0,42,1.7,7.7,0.222,0,0,,1.7,7.7,0.222,1.7,3.4,0.5,1.7,4.3,6,2.6,0,0,1.7,3.4,5.1,403784
C,8,0,72,4.5,10,0.45,1.5,4.5,0.333,3,5.5,0.545,2.5,2.5,1,2,1.5,3.5,0,2.5,0,2,4,13,816482
PF,62,7,764,3.9,8.5,0.459,1,2.9,0.361,2.9,5.7,0.508,1.3,2,0.667,1.3,4.1,5.4,1.2,0.7,0.9,1,2.9,10.2,1129200
PG,45,10,897,4.5,12,0.377,0.9,2.4,0.373,3.7,9.7,0.378,1.3,1.7,0.744,0.7,2.4,3.2,4.8,0.9,0.4,1.6,2.8,11.2,816482
PF,12,2,187,3.1,7.3,0.421,0,0,,3.1,7.3,0.421,0.8,1,0.8,2.1,4.6,6.7,0.4,1.5,0.8,1.3,4.2,6.9,1136160
PG,22,0,252,4.4,12.4,0.356,2.6,7.9,0.327,1.9,4.6,0.406,3,4.1,0.724,1,2.4,3.4,3.1,1.1,0.6,3,3.6,14.4,816482
PG,48,0,489,3.8,10.1,0.38,0.9,2.8,0.316,2.9,7.3,0.404,1.2,1.8,0.64,0.8,2.3,3.1,5.2,1.9,0.1,2.9,3.4,9.7,1606080
PG,54,45,1564,3.9,9.6,0.406,1.6,4.1,0.399,2.3,5.5,0.411,0.4,0.8,0.528,0.3,3.2,3.6,11,1.1,0.1,3.5,1.7,9.9,915243
SG,41,0,387,6,14.5,0.417,0.9,3.1,0.303,5.1,11.4,0.447,2.4,3,0.813,1.5,5.4,6.9,3.1,0.8,0.7,1.7,2.9,15.4,915243
SG,15,0,100,4.3,11.9,0.364,2.2,5,0.429,2.2,6.8,0.316,1.1,1.4,0.75,0.4,2.9,3.2,2.2,0.7,0.4,1.1,3.6,11.9,862000
SF,26,8,629,4.7,12.5,0.376,1,3.8,0.269,3.7,8.6,0.424,1.5,2.7,0.553,0.9,2.6,3.4,1.3,0.7,0.3,1.4,3.5,11.9,915243
SF,45,7,723,3.6,8.3,0.44,1.2,3.8,0.325,2.4,4.4,0.539,1.4,1.8,0.806,0.4,2.1,2.6,2.1,1.2,0.4,1.1,4.4,10,400000
C,48,2,465,5.3,9.8,0.54,0,0,,5.3,9.8,0.54,3.5,4.3,0.818,4.2,4.2,8.4,1.8,0.5,1,2.2,6.5,14,300000
C,48,2,465,5.3,9.8,0.54,0,0,,5.3,9.8,0.54,3.5,4.3,0.818,4.2,4.2,8.4,1.8,0.5,1,2.2,6.5,14,96100
PG,69,4,1339,5.2,12.7,0.405,1,2.7,0.364,4.2,10.1,0.416,3,4.7,0.636,0.7,2.8,3.5,4.3,1.2,0.2,2.1,3.6,14.2,2439840
PG,58,31,1309,4.7,10.7,0.437,0.5,1.7,0.29,4.2,9,0.465,1.6,2.5,0.656,0.9,3.2,4.1,5.1,1,0.4,1.6,1.8,11.5,816482
PG,58,31,1309,4.7,10.7,0.437,0.5,1.7,0.29,4.2,9,0.465,1.6,2.5,0.656,0.9,3.2,4.1,5.1,1,0.4,1.6,1.8,11.5,96056
PG,75,11,1132,2.5,8,0.308,0.9,3.4,0.264,1.6,4.7,0.34,0.9,1.4,0.644,0.6,2.7,3.3,7.7,2.2,0.2,2.8,3.1,6.8,816482
SF,43,5,908,5.7,13.7,0.417,1.1,3.2,0.346,4.6,10.5,0.439,4.6,7,0.655,1,3.5,4.5,2,1.7,0.3,2.3,3.1,17.1,1082000
SG,67,2,1157,4.4,10.5,0.415,1.2,3.9,0.296,3.2,6.6,0.486,2.7,3.7,0.731,0.9,3.1,4,2.2,1.1,0.1,2.1,3.9,12.6,107676
SG,67,2,1157,4.4,10.5,0.415,1.2,3.9,0.296,3.2,6.6,0.486,2.7,3.7,0.731,0.9,3.1,4,2.2,1.1,0.1,2.1,3.9,12.6,53838
SG,67,2,1157,4.4,10.5,0.415,1.2,3.9,0.296,3.2,6.6,0.486,2.7,3.7,0.731,0.9,3.1,4,2.2,1.1,0.1,2.1,3.9,12.6,53838
PF,24,0,339,3.8,6.4,0.6,0,0,,3.8,6.4,0.6,2.9,5.5,0.519,2,4.7,6.7,1.4,1.1,3.1,1.1,6.6,10.5,75000
PG,15,2,244,3.7,8,0.463,0.4,1.8,0.25,3.2,6.2,0.524,1.3,1.8,0.75,0.4,2.8,3.2,4.4,1.5,0.1,2.1,5.5,9.1,59686
SF,22,1,156,2.8,8.1,0.343,0.9,4.4,0.211,1.8,3.7,0.5,2.1,2.3,0.9,0,3.7,3.7,1.4,0.7,0.2,2.5,5.1,8.5,1533840
PG,70,1,1006,4.3,10.1,0.423,0,0.8,0.043,4.2,9.2,0.457,0.8,1.4,0.564,1.1,3.5,4.6,6.4,1.8,0.5,2.3,2.4,9.3,981084
PG,70,1,1006,4.3,10.1,0.423,0,0.8,0.043,4.2,9.2,0.457,0.8,1.4,0.564,1.1,3.5,4.6,6.4,1.8,0.5,2.3,2.4,9.3,981084
SG,5,1,75,7.2,14.9,0.484,5.8,12,0.48,1.4,2.9,0.5,0,0,,0,1.9,1.9,2.4,0,0,1.4,2.9,20.2,816482
SG,52,0,533,5.1,11.3,0.455,0.3,2.4,0.139,4.8,8.8,0.542,2.5,3.7,0.673,1.7,4.2,5.9,1.4,1.4,0.7,3,3,13.1,1112280
SF,43,0,395,3.9,11,0.355,2,6.7,0.301,1.9,4.4,0.438,0.6,0.8,0.778,1,3.9,4.9,1.1,0.8,0.1,1.2,2.4,10.5,1200720
SF,34,0,238,5.1,14.7,0.351,1.1,5.9,0.179,4.1,8.8,0.466,1.2,1.5,0.8,2.1,4.8,7,1.7,0.9,0.2,1.7,3,12.6,1750000
C,37,8,488,4.7,10.8,0.435,0.9,3,0.3,3.8,7.9,0.486,1.8,2.7,0.649,3.1,6.3,9.4,1.2,1,2,3,5.5,12.1,2090000
PF,5,0,30,1.2,6,0.2,0,0,,1.2,6,0.2,1.2,2.4,0.5,2.4,7.2,9.6,3.6,0,0,1.2,3.6,3.6,43226
SF,21,0,184,3.3,8.2,0.405,0.6,3.5,0.167,2.7,4.7,0.583,2,2.2,0.909,1.8,5.9,7.6,2.3,0.6,0.6,2.2,3.1,9.2,1370000
C,21,0,92,2,5.1,0.385,0,0,,2,5.1,0.385,2,4.3,0.455,3.9,4.3,8.2,0.8,1.2,1.6,3.9,6.7,5.9,816482
PF,21,0,79,2.3,5.5,0.417,0.5,0.5,1,1.8,5,0.364,5,8.7,0.579,6.8,5,11.8,0.9,2.7,1.4,1.8,4.1,10,816482
SG,23,0,172,5.4,14,0.388,2.3,6.5,0.355,3.1,7.5,0.417,1,1.5,0.714,0.6,3.3,4,3.1,1.7,0.4,2.9,5,14.2,816482
PF,8,0,63,4,9.1,0.438,0.6,2.3,0.25,3.4,6.9,0.5,0,1.1,0,2.9,9.1,12,1.1,0,1.7,5.1,2.9,8.6,474000
SG,14,0,132,2.2,8.2,0.267,1.6,7.4,0.222,0.5,0.8,0.667,0,0,,1.1,3.5,4.6,0.8,1.6,0,0.8,3.5,6,48028
PG,26,0,224,4.2,13.8,0.302,0.5,4.8,0.1,3.7,9,0.411,1.4,2.1,0.692,1.3,3.2,4.5,6.6,2.1,0.5,2.6,3.1,10.3,283367
PG,14,0,146,3.7,11.8,0.313,1.2,4.2,0.294,2.5,7.6,0.323,2,2.2,0.889,1,4.7,5.7,2.5,2,0,2.5,2.7,10.6,48028
PG,2,0,13,2.8,8.3,0.333,2.8,2.8,1,0,5.5,0,0,0,,0,2.8,2.8,0,5.5,0,0,0,8.3,100000
PG,2,0,13,2.8,8.3,0.333,2.8,2.8,1,0,5.5,0,0,0,,0,2.8,2.8,0,5.5,0,0,0,8.3,48028
SG,7,0,38,6.6,13.3,0.5,1.9,4.7,0.4,4.7,8.5,0.556,2.8,3.8,0.75,0.9,4.7,5.7,3.8,0,0,3.8,3.8,18,816482
SG,21,0,161,3.6,8.7,0.41,1.1,2.5,0.455,2.5,6.3,0.393,0.4,0.4,1,0.9,4.2,5.1,1.3,0.9,0.4,2.5,5.1,8.7,163296
SG,21,0,161,3.6,8.7,0.41,1.1,2.5,0.455,2.5,6.3,0.393,0.4,0.4,1,0.9,4.2,5.1,1.3,0.9,0.4,2.5,5.1,8.7,19914
PF,52,0,663,4.3,12.2,0.356,0.7,2.9,0.245,3.6,9.3,0.39,2.4,3.7,0.638,2.7,5.8,8.4,0.9,1.1,0.4,2.6,5,11.8,5563920
PF,52,16,789,4.3,11.7,0.367,1.4,4.3,0.319,2.9,7.4,0.395,1.8,2.5,0.709,1.6,5.1,6.7,1.2,1,1.5,2.2,3.2,11.7,150000
PF,52,16,789,4.3,11.7,0.367,1.4,4.3,0.319,2.9,7.4,0.395,1.8,2.5,0.709,1.6,5.1,6.7,1.2,1,1.5,2.2,3.2,11.7,107676
PF,52,16,789,4.3,11.7,0.367,1.4,4.3,0.319,2.9,7.4,0.395,1.8,2.5,0.709,1.6,5.1,6.7,1.2,1,1.5,2.2,3.2,11.7,107676
C,24,0,62,1.7,7.5,0.231,0,1.7,0,1.7,5.8,0.3,0,0,,1.2,3.5,4.6,1.2,0,2.3,1.2,4.1,3.5,100000
PG,51,0,373,5.4,12.5,0.434,0.5,1.2,0.417,4.9,11.3,0.436,2.2,3.8,0.59,1.3,3,4.2,4.7,1.8,0.1,3.3,4.4,13.5,250000
PG,51,0,373,5.4,12.5,0.434,0.5,1.2,0.417,4.9,11.3,0.436,2.2,3.8,0.59,1.3,3,4.2,4.7,1.8,0.1,3.3,4.4,13.5,96056
SG,11,1,109,3.6,12.2,0.297,1.7,5.6,0.294,2,6.6,0.3,1.7,2.3,0.714,1.3,5.3,6.6,2.3,2,0.3,3,2.3,10.6,400000
SF,26,0,154,3,6.5,0.464,0,1.4,0,3,5.1,0.591,0.7,1.9,0.375,0.9,2.8,3.7,3.3,0.7,0.2,2.8,4.2,6.8,
SG,24,0,224,2.9,9.2,0.316,1.1,4,0.28,1.8,5.1,0.344,1.8,2.4,0.733,0.3,1.9,2.3,5.5,1.4,0.2,2.9,4.3,8.7,100000
PG,27,0,313,4.5,11,0.406,1.4,4.4,0.316,3.1,6.7,0.466,2,3,0.654,0.8,2.2,3,5.1,1.5,0,3.1,3.8,12.3,702756
SG,24,0,142,2,9.9,0.205,0.8,4.6,0.167,1.3,5.3,0.238,1.8,2,0.875,0.8,3,3.8,3.3,0,0.3,3.3,3.3,6.6,1104240
PG,72,16,1765,7,16.5,0.427,0.8,3.8,0.213,6.2,12.6,0.492,4.3,6.6,0.641,1.4,3.2,4.7,4.4,1.6,0.3,4.2,3.1,19.2,1210080
SG,11,0,33,6.5,18.5,0.353,3.3,8.7,0.375,3.3,9.8,0.333,4.4,4.4,1,0,2.2,2.2,2.2,1.1,0,2.2,2.2,20.7,816482
SG,11,0,33,6.5,18.5,0.353,3.3,8.7,0.375,3.3,9.8,0.333,4.4,4.4,1,0,2.2,2.2,2.2,1.1,0,2.2,2.2,20.7,96056
PG,31,1,292,3.7,10.6,0.349,0.6,2.5,0.25,3.1,8.1,0.379,1,1.5,0.667,0.6,2.7,3.3,7.8,0.5,0.1,3.8,3.8,9,816482
PG,31,1,292,3.7,10.6,0.349,0.6,2.5,0.25,3.1,8.1,0.379,1,1.5,0.667,0.6,2.7,3.3,7.8,0.5,0.1,3.8,3.8,9,633974
SG,40,3,443,3.1,9.7,0.319,0.4,1.5,0.278,2.7,8.2,0.327,2.1,2.8,0.743,0.1,3.2,3.3,4.7,0.8,0.4,3.2,3.7,8.7,1120920
PG,71,0,1048,3.5,9.1,0.381,1.2,3.3,0.375,2.2,5.8,0.385,0.3,0.4,0.833,0.4,3,3.3,4.1,1.4,0.2,2.6,2.6,8.5,915243